location,New York
lat,40.66653
lon,-74.06250
asl,44.788
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,New York Temperature [2 m elevation corrected]
20201115T0000,42.505013
20201115T0100,41.713013
20201115T0200,41.137012
20201115T0300,40.939014
20201115T0400,41.011013
20201115T0500,41.96501
20201115T0600,41.857014
20201115T0700,43.207016
20201115T0800,45.655014
20201115T0900,49.50701
20201115T1000,53.053017
20201115T1100,55.681015
20201115T1200,57.481014
20201115T1300,58.309013
20201115T1400,57.499012
20201115T1500,58.039013
20201115T1600,58.003014
20201115T1700,58.237015
20201115T1800,59.137016
20201115T1900,60.073013
20201115T2000,60.649014
20201115T2100,60.775017
20201115T2200,60.57701
20201115T2300,57.301014
20201116T0000,51.865013
20201116T0100,48.66101
20201116T0200,46.753014
20201116T0300,45.67301
20201116T0400,44.647015
20201116T0500,43.675014
20201116T0600,42.793015
20201116T0700,43.027016
20201116T0800,44.521015
20201116T0900,46.771015
20201116T1000,49.057014
20201116T1100,50.821014
20201116T1200,51.93701
20201116T1300,52.459015
20201116T1400,52.297012
20201116T1500,52.135014
20201116T1600,51.343014
20201116T1700,49.93901
20201116T1800,49.399014
20201116T1900,48.949013
20201116T2000,48.427013
20201116T2100,47.689014
20201116T2200,46.627014
20201116T2300,44.863014
20201117T0000,43.207016
20201117T0100,41.821014
20201117T0200,40.579014
20201117T0300,39.661015
20201117T0400,39.031013
20201117T0500,39.265015
20201117T0600,39.121014
20201117T0700,38.617016
20201117T0800,41.947014
20201117T0900,45.151012
20201117T1000,47.635014
20201117T1100,49.345013
20201117T1200,49.453014
20201117T1300,48.337013
20201117T1400,47.005013
20201117T1500,46.069016
20201117T1600,45.493015
20201117T1700,44.755013
20201117T1800,44.125015
20201117T1900,42.019012
20201117T2000,39.625015
20201117T2100,37.951015
20201117T2200,36.385014
20201117T2300,34.711014
20201118T0000,33.415016
20201118T0100,32.569016
20201118T0200,32.065014
20201118T0300,31.795015
20201118T0400,31.417015
20201118T0500,31.075014
20201118T0600,30.643015
20201118T0700,30.283014
20201118T0800,31.327015
20201118T0900,32.533016
20201118T1000,34.171013
20201118T1100,35.647015
20201118T1200,36.529015
20201118T1300,37.051014
20201118T1400,37.231014
20201118T1500,36.871014
20201118T1600,35.989014
20201118T1700,34.909016
20201118T1800,34.189014
20201118T1900,33.433014
20201118T2000,32.479015
20201118T2100,31.723015
20201118T2200,31.327015
20201118T2300,31.021015
20201119T0000,30.895014
20201119T0100,30.733015
20201119T0200,30.661015
20201119T0300,30.589014
20201119T0400,30.571014
20201119T0500,30.571014
20201119T0600,30.607014
20201119T0700,30.643015
20201119T0800,32.749016
20201119T0900,35.359016
20201119T1000,38.329014
20201119T1100,41.353012
20201119T1200,43.801014
20201119T1300,45.601013
20201119T1400,46.861015
20201119T1500,47.329014
20201119T1600,46.879013
20201119T1700,45.871014
20201119T1800,45.241013
20201119T1900,44.683014
20201119T2000,43.90901
20201119T2100,42.973015
20201119T2200,42.091015
20201119T2300,41.371014
20201120T0000,41.191013
20201120T0100,41.317013
20201120T0200,41.479015
20201120T0300,41.281013
20201120T0400,41.119015
20201120T0500,40.975014
20201120T0600,40.759014
20201120T0700,40.399014
20201120T0800,42.595013
20201120T0900,45.637012
20201120T1000,49.147015
20201120T1100,52.639015
20201120T1200,55.501015
20201120T1300,57.697014
20201120T1400,59.101013
20201120T1500,59.407013
20201120T1600,58.147015
20201120T1700,56.293015
20201120T1800,55.033012
20201120T1900,53.971012
20201120T2000,52.873016
20201120T2100,51.793015
20201120T2200,51.037014
20201120T2300,50.695015
20201121T0000,50.551014
20201121T0100,50.551014
20201121T0200,49.867012
20201121T0300,48.985016
20201121T0400,48.553017
20201121T0500,48.085014
20201121T0600,47.545013
20201121T0700,47.07701
20201121T0800,48.301014
20201121T0900,52.54901
20201121T1000,56.401016
20201121T1100,59.011013
20201121T1200,60.253014
20201121T1300,60.991013
20201121T1400,61.243015
20201121T1500,60.901016
20201121T1600,59.551014
20201121T1700,58.237015
20201121T1800,57.319016
20201121T1900,56.38301
20201121T2000,54.67301
20201121T2100,52.621014
20201121T2200,50.497017
20201121T2300,48.607014
20201122T0000,47.833015
20201122T0100,46.843014
20201122T0200,45.079014
20201122T0300,43.657013
20201122T0400,42.541016
20201122T0500,41.821014
20201122T0600,41.767014
20201122T0700,42.307014
20201122T0800,43.90901
20201122T0900,45.115013
20201122T1000,46.357014
20201122T1100,47.797012
20201122T1200,49.165016
20201122T1300,50.047012
20201122T1400,50.713013
20201122T1500,51.181015
20201122T1600,51.595013
20201122T1700,51.991013
20201122T1800,52.675014
20201122T1900,53.305016
20201122T2000,53.971012
20201122T2100,54.67301
20201122T2200,55.393013
20201122T2300,56.005013
